שם תחנה,מספר תחנה,תאריך,"כמות גשם יומית(מ""מ)",קוד גשם יומי()
חפץ חיים מאוישת                                   ,138947,19/11/2021,8,5
הגושרים                                           ,310191,19/11/2021,15.3,0
החותרים                                           ,120701,19/11/2021,21,0
חיפה נמל מאוישת                                   ,120202,19/11/2021,7,0
חיפה בתי זיקוק                                    ,111510,19/11/2021,21.3,0
חיפה טכניון                                       ,120530,19/11/2021,18.4,0
חיפה אוניברסיטה                                   ,120629,19/11/2021,18.8,0
חיפה אוניברסיטה מאוישת                            ,120630,19/11/2021,19,5
הכפר הירוק                                        ,134840,19/11/2021,9.8,0
הכפר הירוק ידני                                   ,134771,19/11/2021,21,5
חמדיה                                             ,230601,19/11/2021,6.9,0
חניתה                                             ,210502,19/11/2021,34.7,0
האון                                              ,320350,19/11/2021,4.8,0
הר חרשה                                           ,241960,19/11/2021,49.6,0
הררית                                             ,213119,19/11/2021,6.8,0
חרשים                                             ,212171,19/11/2021,18.6,0
חרשים מאוישת                                      ,212168,19/11/2021,19.7,5
הרדוף                                             ,213775,19/11/2021,5.5,5
חי בר כרמל                                        ,120570,19/11/2021,14.8,0
היוגב                                             ,221252,19/11/2021,8.4,0
חצבה                                              ,340534,19/11/2021,2.5,0
חצבה מאוישת                                       ,340528,19/11/2021,2.4,0
חצור אשדוד                                        ,140249,19/11/2021,21.5,0
הזורעים                                           ,214202,19/11/2021,36,0
הזורע                                             ,220901,19/11/2021,9.9,5
הרצליה ב'                                         ,134110,19/11/2021,8.3,0
חורשים                                            ,134804,19/11/2021,11.5,0
חולה שמורה                                        ,311070,19/11/2021,1.8,0
חולדה                                             ,243150,19/11/2021,9.6,5
חוקוק                                             ,212950,19/11/2021,10.1,0
חורפיש                                            ,211251,19/11/2021,20.5,5
חורפיש מרכז                                       ,211253,19/11/2021,23,5
איתמר                                             ,241260,19/11/2021,8.9,0
איתמר מאוישת                                      ,241181,19/11/2021,14.5,5
ג'ת                                               ,131282,19/11/2021,24,0
ירושלים מרכז                                      ,244731,19/11/2021,2.7,0
ירושלים גבעת רם                                   ,245782,19/11/2021,5.4,0
ירושלים רמות                                      ,243530,19/11/2021,7,5
ירושלים סט. אן                                    ,244850,19/11/2021,3.2,0
כברי                                              ,211100,19/11/2021,43.2,0
כרמל                                              ,248360,19/11/2021,0.7,0
כרמל מטעים                                        ,251013,19/11/2021,0.4,5
כרמייה                                            ,142802,19/11/2021,6.3,0
כפר אדומים                                        ,243021,19/11/2021,4.9,0
כפר בלום                                          ,310552,19/11/2021,4,0
כפר עציון                                         ,247370,19/11/2021,5.2,0
כפר גדעון                                         ,220981,19/11/2021,7.5,0
כפר גלעדי                                         ,210160,19/11/2021,6.6,0
כפר גלעדי מאוישת                                  ,210151,19/11/2021,8.2,0
כפר גליקסון                                       ,122097,19/11/2021,30,0
כפר המכבי                                         ,111650,19/11/2021,10.5,0
כפר הנשיא                                         ,311501,19/11/2021,6.7,0
כפר הרואה                                         ,131502,19/11/2021,18,5
כפר חסידים                                        ,111800,19/11/2021,9,0
כפר הס                                            ,133500,19/11/2021,11,0
כפר חיטים                                         ,213451,19/11/2021,6,0
כפר מסריק                                         ,111001,19/11/2021,17.2,0
כפר מנחם                                          ,140852,19/11/2021,3.5,0
כפר נחום                                          ,311656,19/11/2021,10.7,0
כפר נחום מאוישת                                   ,311655,19/11/2021,11,7
כפר פינס                                          ,130502,19/11/2021,20,5
כפר ראש הנקרה                                     ,110050,19/11/2021,29.3,0
כפר שמריהו                                        ,134101,19/11/2021,3.7,0
כפר סומיע                                         ,211472,19/11/2021,35.6,5
כפר סאלד                                          ,310351,19/11/2021,5,0
כפר תפוח                                          ,241361,19/11/2021,28,5
כפר ורבורג                                        ,140950,19/11/2021,4,0
כפר יחזקאל                                        ,230050,19/11/2021,2,0
כפר יהושע                                         ,220300,19/11/2021,12.8,0
"כרם מהר""ל                                         ",121142,19/11/2021,18.2,0
כנרת מושבה                                        ,320405,19/11/2021,9,7
כנרת קבוצה                                        ,320448,19/11/2021,9.6,0
כיסופים                                           ,144604,19/11/2021,9,5
כוכב הירדן                                        ,216255,19/11/2021,11.5,0
כוכב השחר                                         ,241861,19/11/2021,6.5,5
להב                                               ,248396,19/11/2021,0.5,0
להב מאוישת                                        ,248397,19/11/2021,0.4,0
להבות הבשן                                        ,310799,19/11/2021,8,0
להבות חביבה                                       ,131451,19/11/2021,17,5
לטרון מנזר                                        ,242951,19/11/2021,4,0
לביא                                              ,213598,19/11/2021,5.8,0
לימן                                              ,110200,19/11/2021,25.5,0
מעלה אדומים                                       ,245464,19/11/2021,1.6,0
מעלה אדומים מאוישת                                ,245463,19/11/2021,1.7,5
מעלה עמוס                                         ,247881,19/11/2021,8.5,0
מעלה גלבוע                                        ,240090,19/11/2021,49.9,0
מעלה גלבוע מאוישת                                 ,240082,19/11/2021,52,5
מעלה החמישה                                       ,243310,19/11/2021,8.4,0
מעש                                               ,136072,19/11/2021,5.4,0
מעברות                                            ,131801,19/11/2021,26,5
מעון                                              ,248370,19/11/2021,0.7,5
מעיין ברוך                                        ,310051,19/11/2021,4.3,0
מעיין צבי                                         ,121651,19/11/2021,10,0
מעיין צבי בריכות                                  ,121635,19/11/2021,8.6,0
מגן                                               ,144800,19/11/2021,5.4,0
מגל                                               ,131752,19/11/2021,17.3,0
מחניים                                            ,311450,19/11/2021,4.8,0
מלכייה                                            ,210453,19/11/2021,6.7,5
מסד                                               ,213212,19/11/2021,5.1,0
מסדה                                              ,320901,19/11/2021,7.1,0
משואות יצחק                                       ,141150,19/11/2021,2.9,0
מתת                                               ,211010,19/11/2021,32.6,0
מצובה                                             ,210700,19/11/2021,20.3,0
מי עמי                                            ,122502,19/11/2021,8,5
מפלסים                                            ,143702,19/11/2021,3,5
מגידו גן לאומי                                    ,221705,19/11/2021,11.5,0
מחולה                                             ,322102,19/11/2021,7.2,0
מנורים                                            ,213881,19/11/2021,41,5
מירב                                              ,240212,19/11/2021,26,5
מרחביה מושב                                       ,221521,19/11/2021,8.5,0
מרום גולן פיכמן                                   ,2496028,19/11/2021,2.5,0
מירון צפון                                        ,211605,19/11/2021,12,5
משושים                                            ,2492950,19/11/2021,16.1,0
מיתר                                              ,251120,19/11/2021,2.4,0
מטולה                                             ,210062,19/11/2021,20.3,0
מצר                                               ,131050,19/11/2021,18,0
מצוקי דרגות                                       ,330810,19/11/2021,1.6,0
מבוא חורון                                        ,242772,19/11/2021,7.5,5
מעיליא                                            ,211152,19/11/2021,29.5,0
מגדל עוז                                          ,247412,19/11/2021,4.1,0
מגדלים                                            ,241430,19/11/2021,17,5
מכמנים                                            ,212840,19/11/2021,14,0
מקוה ישראל                                        ,136650,19/11/2021,9,5
משגב דב                                           ,138780,19/11/2021,32.5,0
משמר העמק                                         ,221202,19/11/2021,10.6,0
מצפה                                              ,213652,19/11/2021,5,5
מצפה רמון                                         ,256003,19/11/2021,0.3,0
מצפה יריחו                                        ,243331,19/11/2021,0.5,5
מזרע                                              ,220850,19/11/2021,8.6,0
מזרע מטעים                                        ,220530,19/11/2021,7.9,5
מולדת                                             ,221650,19/11/2021,7.1,0
מורשת                                             ,213240,19/11/2021,8,5
נחל עמוד עליון                                    ,211782,19/11/2021,8,5
נחל עוז                                           ,143952,19/11/2021,4,7
נחל רותם                                          ,322150,19/11/2021,5.8,0
נחל תנינים                                        ,121870,19/11/2021,15.5,0
נחלת יהודה                                        ,137020,19/11/2021,9,5
נהרייה שכונת רסקו                                 ,110390,19/11/2021,28.7,0
נחשולים מטעים                                     ,121360,19/11/2021,9,5
נחשון                                             ,243110,19/11/2021,8,0
נחשון מאוישת                                      ,243101,19/11/2021,8,0
נחשונים                                           ,136051,19/11/2021,13,0
נאות מרדכי                                        ,310603,19/11/2021,3.5,0
נגבה                                              ,141747,19/11/2021,6,0
נגבה מאוישת                                       ,141746,19/11/2021,6.8,0
נחלים                                             ,135949,19/11/2021,11.8,0
נחושה                                             ,247420,19/11/2021,4.8,5
נס ציונה                                          ,137502,19/11/2021,5,5
נתיב הלה                                          ,247003,19/11/2021,4.6,0
נתיב הלה מאוישת                                   ,247002,19/11/2021,4.7,0
נבטים                                             ,252305,19/11/2021,0.6,0
"נווה אטי""ב                                        ",2488708,19/11/2021,86.8,0
נווה יער                                          ,220048,19/11/2021,6.3,0
נווה יער מאוישת                                   ,220049,19/11/2021,6,5
נווה צוף                                          ,241640,19/11/2021,30,5
נצר סרני                                          ,137549,19/11/2021,5,5
מבצר נמרוד                                        ,2488800,19/11/2021,87,0
ניר בנים                                          ,141853,19/11/2021,1.7,0
ניר דוד                                           ,230750,19/11/2021,20.8,0
ניר אליהו                                         ,134001,19/11/2021,12.6,0
ניר עציון                                         ,120870,19/11/2021,14,0
ניר עציון שדות                                    ,120860,19/11/2021,15,0
ניר גלים                                          ,140050,19/11/2021,26.7,0
ניר עוז                                           ,144750,19/11/2021,4.9,0
ניר יצחק                                          ,144902,19/11/2021,7.5,0
ניר צבי                                           ,137261,19/11/2021,7.4,5
נירים                                             ,144702,19/11/2021,3.5,0
ניצן                                              ,140855,19/11/2021,3.4,0
ניצנים קבוץ                                       ,140900,19/11/2021,3.1,0
עפרה                                              ,241933,19/11/2021,30,5
אור הנר שדות                                      ,143221,19/11/2021,9.4,0
אורות                                             ,140818,19/11/2021,7.2,5
אורטל                                             ,2496261,19/11/2021,3,5
פלמחים                                            ,137350,19/11/2021,27,0
פארן                                              ,342507,19/11/2021,0.1,0
פארק הכרמל                                        ,120770,19/11/2021,19.5,0
פרוד                                              ,212601,19/11/2021,8.6,0
פקיעין                                            ,211401,19/11/2021,36.8,5
פסגות                                             ,242320,19/11/2021,22.7,0
פצאל                                              ,323255,19/11/2021,9.5,0
קדימה                                             ,132905,19/11/2021,2.7,0
קרני שומרון                                       ,241220,19/11/2021,10.2,0
קדומים                                            ,241135,19/11/2021,20.2,0
קשת                                               ,2496600,19/11/2021,11,0
קבוצת יבנה                                        ,140198,19/11/2021,23.3,0
קבוצת יבנה מאוישת                                 ,140201,19/11/2021,24.1,0
קריית ענבים                                       ,243501,19/11/2021,8.8,0
קריית טבעון                                       ,214580,19/11/2021,5,0
רם-און                                            ,230521,19/11/2021,4.1,0
רמת דוד                                           ,220350,19/11/2021,12.1,0
רמת הכובש                                         ,133782,19/11/2021,15.8,0
רמת השופט                                         ,121350,19/11/2021,22.3,0
רמת מגשימים                                       ,2494353,19/11/2021,11,5
רמת רזיאל                                         ,245005,19/11/2021,5.4,5
רמת צבי                                           ,221633,19/11/2021,5,0
רמות                                              ,2320105,19/11/2021,24,0
רעות                                              ,242340,19/11/2021,1.8,0
רגבים                                             ,121900,19/11/2021,32.1,0
רגבה                                              ,110552,19/11/2021,10.5,0
רחובות                                            ,138120,19/11/2021,4.8,0
רבדים                                             ,140300,19/11/2021,7,0
רביבים מאוישת                                     ,252506,19/11/2021,1,5
ראשון לציון                                       ,137015,19/11/2021,12.7,5
ראש העין - מקורות                                 ,135160,19/11/2021,12.2,5
ראש הנקרה                                         ,110021,19/11/2021,26.5,0
ראש צורים                                         ,247212,19/11/2021,2.2,0
ראש צורים מאוישת                                  ,247211,19/11/2021,3.5,0
רוחמה                                             ,250250,19/11/2021,2,0
סעד                                               ,144001,19/11/2021,2.9,0
סער                                               ,110351,19/11/2021,30.2,0
שריד                                              ,220601,19/11/2021,8.4,0
שרונה מושב                                        ,214810,19/11/2021,11.6,0
שדה בוקר                                          ,253010,19/11/2021,0.1,0
שדה בוקר מאוישת                                   ,253000,19/11/2021,0.1,0
שדה אליהו                                         ,321803,19/11/2021,9,0
שדה אליהו מאוישת                                  ,321802,19/11/2021,8.7,5
שדה אילן                                          ,214101,19/11/2021,13.8,0
שדה ורבורג                                        ,133871,19/11/2021,9.7,0
שדה יעקב                                          ,220102,19/11/2021,7,5
סדום                                              ,337001,19/11/2021,0.1,0
שעלבים                                            ,242550,19/11/2021,3,0
שער הגולן                                         ,320850,19/11/2021,6.2,0
שמיר                                              ,310703,19/11/2021,5,0
שני                                               ,251011,19/11/2021,0.7,0
שבי שומרון                                        ,241005,19/11/2021,31,5
שבי ציון                                          ,110521,19/11/2021,9.6,0
שפיים                                             ,133754,19/11/2021,9,5
שכניה                                             ,213160,19/11/2021,11,5
שלוחות                                            ,230950,19/11/2021,10,5
שמורת נחל מערות                                   ,121110,19/11/2021,11.2,0
שילה                                              ,241492,19/11/2021,19,5
שובל                                              ,250600,19/11/2021,1.7,0
סוסיה                                             ,248375,19/11/2021,0.6,0
תלמי יפה                                          ,142421,19/11/2021,10.3,0
תלמי יוסף                                         ,144960,19/11/2021,6.5,5
טלמון                                             ,242010,19/11/2021,28,0
תבור כדורי                                        ,215403,19/11/2021,4.9,0
תפן תעשיות                                        ,211465,19/11/2021,47,5
תל עדשים                                          ,220652,19/11/2021,6.9,5
תל-אביב חוף                                       ,136320,19/11/2021,5.4,0
תל דן                                             ,310120,19/11/2021,21,0
תל חצור                                           ,311208,19/11/2021,4.2,0
תל קציר                                           ,320751,19/11/2021,4.5,0
תל יצחק                                           ,133399,19/11/2021,10,5
תל יוסף                                           ,230457,19/11/2021,20.4,0
טנא עומרים                                        ,248480,19/11/2021,2,0
תימורים                                           ,141102,19/11/2021,4,5
תמרת                                              ,215051,19/11/2021,6,5
טירת צבי                                          ,321850,19/11/2021,9.4,5
אום אל-פחם                                        ,122002,19/11/2021,11,5
אורים                                             ,251550,19/11/2021,3.2,0
אושה                                              ,111699,19/11/2021,12,0
מכון וינגייט                                      ,133260,19/11/2021,12,5
יד חנה                                            ,132551,19/11/2021,24.6,0
יד מרדכי                                          ,143000,19/11/2021,14.6,0
יגור                                              ,120750,19/11/2021,12,0
יחד                                               ,213130,19/11/2021,7.7,0
יהודיה                                            ,2311572,19/11/2021,18.6,0
יכיני                                             ,144030,19/11/2021,2.7,0
יקום                                              ,133302,19/11/2021,11,0
ירקון גן לאומי                                    ,135010,19/11/2021,12,7
יבנאל                                             ,215454,19/11/2021,11.7,0
יבנאל מאוישת                                      ,215452,19/11/2021,9.3,0
יחיעם                                             ,211350,19/11/2021,38,5
יסודות                                            ,243200,19/11/2021,8.8,5
יפתח                                              ,210398,19/11/2021,10.1,0
יראון                                             ,210650,19/11/2021,11.8,0
יודפת                                             ,213173,19/11/2021,7.7,0
יונתן                                             ,2493301,19/11/2021,25.3,5
יובלים                                            ,212980,19/11/2021,28.3,5
צאלים                                             ,252296,19/11/2021,0.9,0
צפת הר כנען                                       ,211890,19/11/2021,8,0
צפת הר כנען מאוישת                                ,211900,19/11/2021,6.8,0
צמח                                               ,320703,19/11/2021,6.2,0
צמח מאוישת                                        ,320702,19/11/2021,6.6,5
זכרון יעקב                                        ,121702,19/11/2021,8.5,0
זכרון יעקב מאוישת                                 ,121710,19/11/2021,26,5
זיקים                                             ,142600,19/11/2021,7.2,0
צומת הנגב                                         ,252428,19/11/2021,0.3,0
צרעה                                              ,245500,19/11/2021,0.7,0
צובה                                              ,244353,19/11/2021,8.7,0
צובה מאוישת                                       ,244354,19/11/2021,9.8,5
צור הדסה                                          ,246630,19/11/2021,23.5,0
עדנים                                             ,134731,20/11/2021,13.9,0
אפק                                               ,111145,20/11/2021,4.6,0
עפולה ניר העמק                                    ,221604,20/11/2021,13.2,0
אלון הגליל                                        ,213905,20/11/2021,6.8,0
אלון שבות                                         ,247206,20/11/2021,10.5,0
אלוני הבשן                                        ,2496501,20/11/2021,18,5
אלמגור                                            ,311650,20/11/2021,10.4,0
אלמוג מטעים                                       ,330381,20/11/2021,0.2,5
עלומים                                            ,144069,20/11/2021,14.4,5
אמירים                                            ,212352,20/11/2021,5.5,0
עמיעד                                             ,212670,20/11/2021,5.3,0
עמיעד קיבוץ                                       ,212651,20/11/2021,5.3,0
עמיקם                                             ,121801,20/11/2021,12.3,0
אמנון                                             ,311700,20/11/2021,4.6,0
ערד                                               ,251569,20/11/2021,6.2,0
ארגמן דרום                                        ,322656,20/11/2021,7,5
אריאל מכללה                                       ,241414,20/11/2021,22.2,0
אשלים                                             ,252731,20/11/2021,3.3,0
אשלים שדה חייל מאוישת                             ,252730,20/11/2021,3,5
אשדוד חווה                                        ,140150,20/11/2021,24,0
אשדוד נמל                                         ,140025,20/11/2021,18.1,0
אשדות יעקב מאוחד                                  ,321148,20/11/2021,11.9,0
אשקלון                                            ,141625,20/11/2021,54,5
"אשקלון קצא""א                                      ",141940,20/11/2021,50.9,0
אשקלון נמל                                        ,141942,20/11/2021,45,7
עבדת                                              ,253052,20/11/2021,2.2,0
אבני איתן                                         ,2494552,20/11/2021,7.4,0
איילת השחר                                        ,311206,20/11/2021,5.5,0
איילת השחר מאוישת                                 ,311204,20/11/2021,5.5,0
בניאס שמורה                                       ,310083,20/11/2021,4.5,0
ברעם - מטעים                                      ,210803,20/11/2021,6.6,0
ברקאי                                             ,130550,20/11/2021,16.4,0
באר שבע                                           ,251691,20/11/2021,2.3,0
באר טוביה                                         ,140801,20/11/2021,55.1,5
בארי                                              ,144249,20/11/2021,16.6,0
בית ג'ן                                           ,211941,20/11/2021,5.9,0
בית ג'מל                                          ,246551,20/11/2021,4.5,0
בית ג'מל מאוישת                                   ,246550,20/11/2021,4.6,0
בית ינאי                                          ,131645,20/11/2021,35.5,5
בני דרום                                          ,140101,20/11/2021,28.2,0
בני דרור                                          ,133200,20/11/2021,12,5
בני יהודה                                         ,2494661,20/11/2021,8.8,5
ברכה                                              ,241145,20/11/2021,19,5
בשור חווה                                         ,144873,20/11/2021,8.2,0
בשור חווה מאוישת                                  ,144872,20/11/2021,7.7,5
בית אלפא                                          ,230703,20/11/2021,15,0
בית אריה                                          ,241521,20/11/2021,23.9,5
בית דגן                                           ,136741,20/11/2021,45.7,0
בית דגן מאוישת                                    ,136739,20/11/2021,45.7,5
בית אל                                            ,241985,20/11/2021,11,5
בית גוברין                                        ,247550,20/11/2021,6.1,0
בית הערבה                                         ,330210,20/11/2021,0.2,0
בית העמק                                          ,110600,20/11/2021,4,0
בית השיטה                                         ,230453,20/11/2021,8.1,0
בית לחם הגלילית                                   ,214252,20/11/2021,9.6,5
בית מאיר                                          ,243798,20/11/2021,5.8,0
בית ניר                                           ,247251,20/11/2021,5,0
בית אורן                                          ,120800,20/11/2021,8.7,0
בית קמה                                           ,250398,20/11/2021,6.5,0
בית קשת                                           ,214701,20/11/2021,8.3,0
בית רימון                                         ,213681,20/11/2021,7,0
בית יצחק                                          ,132475,20/11/2021,71,5
בית ציידה                                         ,311660,20/11/2021,6.3,0
בית זרע                                           ,320801,20/11/2021,8.3,0
בנימינה                                           ,130011,20/11/2021,12.3,0
בנימינה מערב                                      ,130020,20/11/2021,13.2,0
דפנה                                              ,310098,20/11/2021,3.9,0
דפנה מאוישת                                       ,310093,20/11/2021,4.1,0
דאלית אל-כרמל                                     ,121030,20/11/2021,13,0
דלייה                                             ,121500,20/11/2021,10.8,0
דגניה א'                                          ,320502,20/11/2021,6.3,0
דגניה ב'                                          ,320650,20/11/2021,8.1,0
דייר חנא                                          ,213054,20/11/2021,4.2,0
דייר חנא מאוישת                                   ,213052,20/11/2021,4.2,7
דורות                                             ,250156,20/11/2021,16,0
דורות מאוישת                                      ,250151,20/11/2021,18,0
חוות עדן                                          ,231001,20/11/2021,6.7,0
אפרתה                                             ,247220,20/11/2021,5.6,0
עיילבון                                           ,213201,20/11/2021,5,7
אלעזר                                             ,247215,20/11/2021,6.9,0
אל -רום                                           ,2489600,20/11/2021,6,0
עלי                                               ,241487,20/11/2021,23,5
אילון                                             ,210753,20/11/2021,3.9,0
אילון מאוישת                                      ,210748,20/11/2021,4,0
אלקנה                                             ,241381,20/11/2021,13,5
עין גדי מרחצאות                                   ,331210,20/11/2021,0.3,0
עין החורש                                         ,131598,20/11/2021,31.3,0
עין החורש מאוישת                                  ,131599,20/11/2021,32.3,5
עין המפרץ                                         ,110951,20/11/2021,4,0
עין חרוד איחוד                                    ,230253,20/11/2021,32.9,0
עין חרוד מאוחד                                    ,230300,20/11/2021,33.5,0
עין השופט                                         ,121541,20/11/2021,9.3,0
עין השופט  קיבוץ                                  ,121550,20/11/2021,11.3,0
עין השופט מאוישת                                  ,121540,20/11/2021,10,0
עין כרמל                                          ,121056,20/11/2021,10.5,0
עין צורים                                         ,141350,20/11/2021,16.7,0
עינת                                              ,135496,20/11/2021,23.3,0
עינות צוקים                                       ,330455,20/11/2021,0.2,5
ארז                                               ,143160,20/11/2021,7.1,0
אשחר                                              ,212846,20/11/2021,6.6,0
עברון                                             ,110502,20/11/2021,4,0
אייל                                              ,133850,20/11/2021,7.6,0
עזוז                                              ,253745,20/11/2021,0.3,0
געש                                               ,133649,20/11/2021,22.3,0
גדות                                              ,311251,20/11/2021,7.1,0
גלעד                                              ,121852,20/11/2021,12.4,7
גלעד מאוישת                                       ,121851,20/11/2021,12.4,0
גמלא                                              ,2493350,20/11/2021,8.4,0
גמלא מאוישת                                       ,2493330,20/11/2021,8.4,0
גן שלמה                                           ,138250,20/11/2021,44,0
גן שמואל                                          ,131003,20/11/2021,15,0
גת                                                ,142303,20/11/2021,12.6,0
גת מאוישת                                         ,142302,20/11/2021,13,0
גזית                                              ,216101,20/11/2021,12.8,0
גשר                                               ,321250,20/11/2021,10.3,0
גברעם                                             ,142898,20/11/2021,12.8,0
גבים                                              ,143750,20/11/2021,15,0
גלגל                                              ,323403,20/11/2021,1.3,0
גלגל מאוישת                                       ,323402,20/11/2021,1.2,0
גיניגר                                            ,220550,20/11/2021,10.5,0
גינוסר                                            ,320099,20/11/2021,5.9,0
גיתית                                             ,241296,20/11/2021,7.2,0
גבעת ברנר                                         ,138401,20/11/2021,43,5
גבעת עוז                                          ,221751,20/11/2021,13.4,0
חדרה נמל                                          ,130970,20/11/2021,22.8,0
חדרה תחנת הכח                                     ,130981,20/11/2021,23,5
חפץ חיים                                          ,138946,20/11/2021,50.5,0
חפץ חיים מאוישת                                   ,138947,20/11/2021,56,5
הגושרים                                           ,310191,20/11/2021,5,0
החותרים                                           ,120701,20/11/2021,9,0
חיפה נמל מאוישת                                   ,120202,20/11/2021,3.1,0
חיפה בתי זיקוק                                    ,111510,20/11/2021,4.6,0
חיפה טכניון                                       ,120530,20/11/2021,7.4,0
חיפה אוניברסיטה                                   ,120629,20/11/2021,7,0
חיפה אוניברסיטה מאוישת                            ,120630,20/11/2021,7.4,5
הכפר הירוק                                        ,134840,20/11/2021,9.8,0
הכפר הירוק ידני                                   ,134771,20/11/2021,13,5
חמדיה                                             ,230601,20/11/2021,10.2,0
חניתה                                             ,210502,20/11/2021,4.6,0
האון                                              ,320350,20/11/2021,7.2,0
הר חרשה                                           ,241960,20/11/2021,21.6,0
הררית                                             ,213119,20/11/2021,4.9,0
חרשים                                             ,212171,20/11/2021,10.8,0
חרשים מאוישת                                      ,212168,20/11/2021,10.8,5
הרדוף                                             ,213775,20/11/2021,8,0
חי בר כרמל                                        ,120570,20/11/2021,8.7,0
היוגב                                             ,221252,20/11/2021,10.9,0
חצור אשדוד                                        ,140249,20/11/2021,38.6,0
הזורעים                                           ,214202,20/11/2021,12,0
הזורע                                             ,220901,20/11/2021,10,0
הרצליה ב'                                         ,134110,20/11/2021,13.1,0
חורשים                                            ,134804,20/11/2021,9.6,0
חולה שמורה                                        ,311070,20/11/2021,7.3,0
חולדה                                             ,243150,20/11/2021,48.2,5
חוקוק                                             ,212950,20/11/2021,5.6,0
חורפיש                                            ,211251,20/11/2021,5,0
חורפיש מרכז                                       ,211253,20/11/2021,5.8,0
איתמר                                             ,241260,20/11/2021,26.9,0
איתמר מאוישת                                      ,241181,20/11/2021,22,5
ג'ת                                               ,131282,20/11/2021,20.7,0
ירושלים מרכז                                      ,244731,20/11/2021,4.6,0
ירושלים גבעת רם                                   ,245782,20/11/2021,4.8,0
ירושלים רמות                                      ,243530,20/11/2021,11.5,5
ירושלים סט. אן                                    ,244850,20/11/2021,5.2,0
כברי                                              ,211100,20/11/2021,4.2,0
כרמל                                              ,248360,20/11/2021,1,5
כרמל מטעים                                        ,251013,20/11/2021,1.9,5
כרמייה                                            ,142802,20/11/2021,36.2,0
כפר אדומים                                        ,243021,20/11/2021,1.4,0
כפר בלום                                          ,310552,20/11/2021,5.2,0
כפר עציון                                         ,247370,20/11/2021,8.8,0
כפר גדעון                                         ,220981,20/11/2021,14,0
כפר גלעדי                                         ,210160,20/11/2021,6.9,0
כפר גלעדי מאוישת                                  ,210151,20/11/2021,6.9,0
כפר גליקסון                                       ,122097,20/11/2021,13,7
כפר המכבי                                         ,111650,20/11/2021,7.2,0
כפר הנשיא                                         ,311501,20/11/2021,6.9,0
כפר הרואה                                         ,131502,20/11/2021,31,5
כפר חסידים                                        ,111800,20/11/2021,5,0
כפר הס                                            ,133500,20/11/2021,11.2,0
כפר חיטים                                         ,213451,20/11/2021,6.8,0
כפר מסריק                                         ,111001,20/11/2021,4.6,0
כפר מנחם                                          ,140852,20/11/2021,19,0
כפר נחום                                          ,311656,20/11/2021,6,0
כפר נחום מאוישת                                   ,311655,20/11/2021,4,0
כפר פינס                                          ,130502,20/11/2021,12.8,5
כפר ראש הנקרה                                     ,110050,20/11/2021,9,0
כפר שמריהו                                        ,134101,20/11/2021,13.5,0
כפר סומיע                                         ,211472,20/11/2021,8.5,0
כפר סאלד                                          ,310351,20/11/2021,3.3,0
כפר תפוח                                          ,241361,20/11/2021,20.9,5
כפר ורבורג                                        ,140950,20/11/2021,32,0
כפר יחזקאל                                        ,230050,20/11/2021,14.5,0
כפר יהושע                                         ,220300,20/11/2021,9.6,0
"כרם מהר""ל                                         ",121142,20/11/2021,8.1,0
כנרת מושבה                                        ,320405,20/11/2021,6,0
כנרת קבוצה                                        ,320448,20/11/2021,5,0
כיסופים                                           ,144604,20/11/2021,7.6,0
כוכב הירדן                                        ,216255,20/11/2021,12,0
כוכב השחר                                         ,241861,20/11/2021,1.5,5
להב                                               ,248396,20/11/2021,1.7,0
להב מאוישת                                        ,248397,20/11/2021,1.6,0
להבות הבשן                                        ,310799,20/11/2021,2.9,0
להבות חביבה                                       ,131451,20/11/2021,17.6,0
לטרון מנזר                                        ,242951,20/11/2021,39.5,0
לביא                                              ,213598,20/11/2021,7.6,0
לימן                                              ,110200,20/11/2021,3.8,0
מעלה אדומים                                       ,245464,20/11/2021,2.3,0
מעלה אדומים מאוישת                                ,245463,20/11/2021,2.3,0
מעלה עמוס                                         ,247881,20/11/2021,0.7,0
מעלה גלבוע                                        ,240090,20/11/2021,12.8,0
מעלה גלבוע מאוישת                                 ,240082,20/11/2021,13.3,5
מעלה החמישה                                       ,243310,20/11/2021,5.9,0
מעש                                               ,136072,20/11/2021,27.9,0
מעברות                                            ,131801,20/11/2021,30.8,5
מעון                                              ,248370,20/11/2021,1,5
מעיין ברוך                                        ,310051,20/11/2021,13.5,0
מעיין צבי                                         ,121651,20/11/2021,8.5,0
מעיין צבי בריכות                                  ,121635,20/11/2021,7.3,0
מגן                                               ,144800,20/11/2021,5.6,0
מגל                                               ,131752,20/11/2021,14.7,0
מחניים                                            ,311450,20/11/2021,4.7,0
מלכייה                                            ,210453,20/11/2021,5.2,5
מסד                                               ,213212,20/11/2021,5.4,0
מסדה                                              ,320901,20/11/2021,10.1,0
משואות יצחק                                       ,141150,20/11/2021,27.5,0
מתת                                               ,211010,20/11/2021,4.2,0
מצובה                                             ,210700,20/11/2021,2.7,0
מי עמי                                            ,122502,20/11/2021,13.7,5
מפלסים                                            ,143702,20/11/2021,9.5,5
מגידו גן לאומי                                    ,221705,20/11/2021,10.2,0
מחולה                                             ,322102,20/11/2021,9.6,0
מנורים                                            ,213881,20/11/2021,4.4,0
מירב                                              ,240212,20/11/2021,9.4,5
מרחביה מושב                                       ,221521,20/11/2021,12.7,0
